iter	Passed	Remaining
399	57711	86567
400	57851	86416
401	57977	86245
402	58111	86085
403	58270	85964
404	58418	85825
405	58566	85686
406	58699	85525
407	58839	85375
408	58972	85214
409	59124	85080
410	59265	84932
411	59406	84783
412	59559	84652
413	59713	84522
414	59847	84363
415	60002	84234
416	60155	84102
417	60297	83954
418	60445	83815
419	60621	83715
420	60790	83605
421	60950	83482
422	61116	83366
423	61254	83213
424	61406	83078
425	61557	82943
426	61691	82784
427	61857	82669
428	61983	82500
429	62111	82334
430	62275	82215
431	62409	82057
432	62537	81891
433	62686	81752
434	62825	81600
435	62956	81438
436	63099	81293
437	63238	81141
438	63380	80994
439	63522	80847
440	63664	80699
441	63823	80574
442	64001	80471
443	64151	80334
444	64276	80165
445	64432	80034
446	64589	79906
447	64731	79758
448	64881	79620
449	65026	79476
450	65163	79323
451	65310	79181
452	65454	79036
453	65614	78910
454	65751	78757
455	65894	78611
456	66044	78472
457	66179	78316
458	66331	78181
459	66459	78017
460	66609	77879
461	66749	77729
462	66906	77600
463	67049	77453
464	67195	77310
465	67337	77163
466	67471	77006
467	67620	76867
468	67759	76717
469	67896	76564
470	68037	76415
471	68169	76257
472	68291	76087
473	68419	75925
474	68566	75784
475	68698	75626
476	68842	75481
477	68979	75328
478	69120	75181
479	69245	75016
480	69392	74874
481	69538	74731
482	69681	74586
483	69819	74435
484	69963	74290
485	70108	74147
486	70259	74010
487	70404	73866
488	70560	73734
489	70703	73589
490	70854	73452
491	70995	73304
492	71149	73169
493	71294	73026
494	71446	72889
495	71606	72761
496	71755	72621
497	71886	72464
498	72039	72328
499	72196	72196
500	72354	72065
501	72495	71917
502	72636	71769
503	72775	71620
504	72912	71468
505	73064	71331
506	73220	71198
507	73368	71057
508	73521	70922
509	73673	70784
510	73815	70638
511	73959	70492
512	74106	70351
513	74265	70219
514	74407	70072
515	74547	69924
516	74693	69781
517	74832	69631
518	74979	69489
519	75132	69353
520	75273	69205
521	75412	69056
522	75569	68923
523	75724	68787
524	75883	68656
525	76017	68502
526	76151	68348
527	76324	68229
528	76485	68099
529	76628	67953
530	76768	67804
531	76915	67662
532	77060	67518
533	77204	67372
534	77345	67225
535	77483	67075
536	77609	66914
537	77751	66767
538	77897	66624
539	78034	66473
540	78170	66322
541	78310	66174
542	78452	66026
543	78578	65867
544	78703	65706
545	78848	65562
546	78999	65423
547	79147	65281
548	79278	65126
549	79424	64983
550	79587	64854
551	79725	64704
552	79872	64562
553	80027	64426
554	80182	64290
555	80341	64157
556	80496	64021
557	80638	63874
558	80775	63724
559	80917	63577
560	81068	63438
561	81221	63300
562	81348	63142
563	81491	62996
564	81630	62848
565	81764	62696
566	81906	62549
567	82046	62401
568	82187	62254
569	82328	62107
570	82477	61966
571	82616	61818
572	82763	61675
573	82909	61532
574	83055	61388
575	83201	61245
576	83333	61092
577	83463	60937
578	83612	60796
579	83747	60644
580	83881	60492
581	84022	60346
582	84167	60202
583	84314	60059
584	84458	59915
585	84608	59774
586	84746	59625
587	84879	59473
588	85031	59334
589	85173	59188
590	85315	59042
591	85460	58898
592	85622	58766
593	85786	58635
594	85940	58497
595	86095	58359
596	86233	58211
597	86396	58079
598	86531	57928
599	86668	57779
600	86815	57636
601	86961	57493
602	87092	57339
603	87226	57188
604	87365	57040
605	87521	56903
606	87665	56758
607	87795	56605
608	87934	56457
609	88063	56303
610	88201	56154
611	88349	56012
612	88499	55871
613	88646	55728
614	88794	55586
615	88952	55450
616	89102	55310
617	89241	55161
618	89392	55021
619	89535	54876
620	89671	54726
621	89810	54579
622	89955	54435
623	90100	54291
624	90235	54141
625	90393	54004
626	90526	53853
627	90671	53710
628	90811	53563
629	90955	53418
630	91108	53278
631	91244	53129
632	91380	52980
633	91528	52838
634	91666	52690
635	91809	52544
636	91949	52398
637	92102	52258
638	92257	52120
639	92404	51977
640	92538	51827
641	92670	51675
642	92808	51528
643	92943	51378
644	93083	51232
645	93228	51088
646	93359	50936
647	93485	50782
648	93619	50632
649	93752	50481
650	93898	50338
651	94039	50192
652	94174	50043
653	94311	49895
654	94450	49748
655	94590	49602
656	94738	49460
657	94890	49319
658	95039	49178
659	95201	49043
660	95358	48905
661	95501	48760
662	95652	48619
663	95808	48481
664	95939	48330
665	96081	48184
666	96227	48041
667	96355	47889
668	96499	47744
669	96632	47595
670	96779	47452
671	96910	47301
672	97047	47153
673	97187	47007
674	97331	46863
675	97486	46724
676	97623	46576
677	97752	46425
678	97876	46271
679	98006	46120
680	98163	45982
681	98321	45845
682	98461	45698
683	98587	45546
684	98714	45394
685	98854	45248
686	99008	45108
687	99159	44967
688	99307	44825
689	99441	44676
690	99578	44529
691	99713	44381
692	99841	44230
693	99987	44086
694	100147	43949
695	100281	43801
696	100407	43649
697	100560	43509
698	100704	43364
699	100831	43213
700	100959	43062
701	101112	42922
702	101266	42782
703	101410	42638
704	101559	42496
705	101709	42355
706	101868	42217
707	102027	42079
708	102164	41932
709	102316	41791
710	102483	41656
711	102639	41517
712	102799	41379
713	102947	41236
714	103111	41100
715	103259	40957
716	103408	40815
717	103569	40677
718	103718	40535
719	103868	40393
720	104010	40248
721	104152	40102
722	104289	39955
723	104465	39824
724	104632	39688
725	104785	39547
726	104930	39403
727	105078	39260
728	105224	39116
729	105372	38973
730	105523	38831
731	105659	38683
732	105809	38541
733	105960	38399
734	106140	38268
735	106307	38132
736	106464	37992
737	106618	37851
738	106770	37709
739	106914	37564
740	107059	37420
741	107215	37279
742	107363	37136
743	107503	36990
